time_stamp,humidity,temperature,pressure,pm2.5_alt
2021-06-13T00:00:00Z,22.356,89.166,862.016,11.9
2021-06-20T00:00:00Z,18.54,89.253,862.833,6.7
2021-10-03T00:00:00Z,44.773,58.555,904.565,17.7
2021-10-10T00:00:00Z,38.74,65.358,900.29,24.5
2021-10-17T00:00:00Z,36.401,60.033,901.388,18.4
2021-10-24T00:00:00Z,37.169,53.697,903.567,34.0
2021-10-31T00:00:00Z,57.448,60.3,904.613,46.0
2021-11-07T00:00:00Z,47.864,52.46,903.679,42.7
2021-11-14T00:00:00Z,47.282,48.583,901.516,73.5
2021-11-21T00:00:00Z,54.063,49.73,901.316,58.1
2021-11-28T00:00:00Z,56.787,46.0,899.494,55.3
2021-12-05T00:00:00Z,49.852,45.387,902.845,76.7
2021-12-12T00:00:00Z,53.696,44.014,902.237,100.4
2021-12-19T00:00:00Z,43.955,40.166,896.027,29.6
2021-12-26T00:00:00Z,45.561,33.104,902.62,96.3
2022-01-02T00:00:00Z,49.513,38.698,899.208,68.3
2022-01-09T00:00:00Z,53.073,39.718,895.972,71.1
2022-01-16T00:00:00Z,43.112,30.538,897.562,32.6
2022-01-23T00:00:00Z,44.277,36.627,898.247,60.2
2022-01-30T00:00:00Z,43.998,42.601,896.616,40.2
2022-02-06T00:00:00Z,44.059,43.452,899.915,36.2
2022-02-13T00:00:00Z,42.83,45.232,900.048,51.1
2022-02-20T00:00:00Z,39.027,52.03,896.798,31.1
2022-02-27T00:00:00Z,42.11,52.223,894.568,20.5
2022-03-06T00:00:00Z,43.429,47.757,889.348,17.7
2022-03-13T00:00:00Z,48.552,40.917,897.896,16.8
2022-03-20T00:00:00Z,49.212,44.148,896.641,21.5
2022-03-27T00:00:00Z,32.149,53.937,901.663,24.7
2022-04-03T00:00:00Z,38.991,62.908,894.38,15.2
2022-04-10T00:00:00Z,32.99,58.756,893.937,11.8
2022-04-17T00:00:00Z,30.686,67.246,895.712,17.1
2022-04-24T00:00:00Z,33.443,73.032,895.2,14.2
2022-05-01T00:00:00Z,48.872,65.329,891.755,9.2
2022-05-08T00:00:00Z,41.702,63.809,897.746,8.6
2022-05-15T00:00:00Z,39.107,68.466,896.727,9.4
2022-05-22T00:00:00Z,34.098,70.48,894.34,7.0
2022-05-29T00:00:00Z,28.695,82.473,898.1,10.7
2022-06-05T00:00:00Z,28.164,84.086,892.129,8.9
2022-06-12T00:00:00Z,38.143,79.57,892.842,9.3
2022-06-19T00:00:00Z,34.32,82.49,889.814,9.4
2022-06-26T00:00:00Z,36.076,82.829,890.942,11.8
2022-07-03T00:00:00Z,29.49,81.587,893.613,10.0
2022-07-10T00:00:00Z,25.864,90.165,890.886,8.5
2022-07-17T00:00:00Z,27.884,89.922,890.712,9.3
2022-07-24T00:00:00Z,31.46,85.222,892.278,11.1
2022-07-31T00:00:00Z,29.608,90.04,891.328,12.7
2022-08-07T00:00:00Z,34.741,85.471,891.694,9.8
2022-08-14T00:00:00Z,23.151,90.662,890.838,10.6
2022-08-21T00:00:00Z,24.579,85.258,895.307,8.3
2022-08-28T00:00:00Z,19.48,89.384,896.285,13.3
2022-09-04T00:00:00Z,31.401,78.96,895.272,9.1
2022-09-11T00:00:00Z,29.007,78.323,893.142,11.0
2022-09-18T00:00:00Z,29.88,79.154,893.732,13.0
2022-09-25T00:00:00Z,28.531,72.475,898.138,11.6
2022-10-02T00:00:00Z,29.713,75.634,898.125,20.9
2022-10-09T00:00:00Z,47.369,64.857,899.239,16.8
2022-10-16T00:00:00Z,47.941,64.631,901.7,25.5
2022-10-23T00:00:00Z,43.602,58.297,902.204,22.9
2022-10-30T00:00:00Z,36.977,57.485,897.691,24.4
2022-11-20T00:00:00Z,44.371,55.115,899.324,57.8
2022-11-27T00:00:00Z,54.765,51.838,902.962,46.5
2022-12-04T00:00:00Z,52.008,46.376,904.317,44.0
2022-12-11T00:00:00Z,55.892,47.931,901.998,89.2
2022-12-18T00:00:00Z,57.836,43.375,903.056,68.1
2022-12-25T00:00:00Z,45.99,40.467,904.532,67.6
