time_stamp,humidity,temperature,pressure,pm2.5_alt,pm10.0_atm
2021-06-18T20:00:00Z,25.775,82.058,862.607,6.4,10.516
2021-06-18T21:00:00Z,24,85,861.9,3.7,5.654
2021-06-18T22:00:00Z,23.4,85.767,861.313,230.8,423.9845
2021-06-18T23:00:00Z,23,86,861.034,45.7,71.3075
2021-06-19T00:00:00Z,23,87.8,860.762,10.7,19.6415
2021-06-19T01:00:00Z,23,90.267,860.821,4.1,6.4765
2021-06-19T02:00:00Z,23,90.966,861.042,1.6,1.955
2021-06-19T03:00:00Z,23,91.833,861.426,0.7,0.3285
2021-06-19T04:00:00Z,23,92,862.177,0.4,0.0395
2021-06-19T05:00:00Z,23,91.966,862.218,0.2,0.0095
2021-06-19T06:00:00Z,23,92,862.167,0.2,0.0115
2021-06-19T07:00:00Z,23,91.9,862.264,0.2,0.0085
2021-06-19T08:00:00Z,23,91.1,862.532,0.2,0.0105
2021-06-19T09:00:00Z,23,91,862.126,0.2,0.0045
2021-06-19T10:00:00Z,23,91,862.385,0.2,0.0065
2021-06-19T11:00:00Z,22.1,91,862.798,0.2,0.010499999999999999
2021-06-19T12:00:00Z,22,91,863.313,0.2,0.015
2021-06-19T13:00:00Z,22,91,863.185,0.2,0.008
2021-06-19T14:00:00Z,22,91,863.252,0.3,0.0045
2021-06-19T15:00:00Z,22,89.9,863.282,1.5,1.8275000000000001
2021-06-19T16:00:00Z,22.034,86.566,863.317,3.2,4.7075
2021-06-19T17:00:00Z,21.6,88.466,863.087,1.8,2.0925000000000002
2021-06-19T18:00:00Z,21.034,87.7,862.8,3.5,5.13
2021-06-19T19:00:00Z,21,86.966,862.381,3.2,4.6594999999999995
2021-06-19T20:00:00Z,20.966,87.666,861.511,2.2,2.8525
2021-06-19T21:00:00Z,20.3,88.1,860.843,2.6,3.657
2021-06-19T22:00:00Z,20,88,860.253,3.8,5.795
2021-06-19T23:00:00Z,19.767,88.633,859.662,3.6,5.457000000000001
2021-06-20T00:00:00Z,19,87.1,859.215,4.8,7.544499999999999
2021-06-20T01:00:00Z,18.8,86.967,858.905,4.5,6.8785
2021-06-20T02:00:00Z,19,89.933,858.825,2,2.4475
2021-06-20T03:00:00Z,19,91,858.851,1.2,1.202
2021-06-20T04:00:00Z,19,91,859.373,1.2,1.1084999999999998
2021-06-20T05:00:00Z,19,91,860.406,1.1,0.9774999999999999
2021-06-20T06:00:00Z,19,91,860.967,1.1,0.901
2021-06-20T07:00:00Z,19,91,861.253,1,0.8305
2021-06-20T08:00:00Z,19,91,861.46,1,0.747
2021-06-20T09:00:00Z,19,91,861.527,0.9,0.6
2021-06-20T10:00:00Z,19,90.367,861.705,0.7,0.357
2021-06-20T11:00:00Z,19,90,862.132,0.7,0.274
2021-06-20T12:00:00Z,19,89.733,862.632,0.8,0.482
2021-06-20T13:00:00Z,19,89,862.824,0.8,0.44500000000000006
2021-06-20T14:00:00Z,19,89.5,863.147,0.7,0.371
2021-06-20T15:00:00Z,19,90,863.576,0.7,0.36250000000000004
2021-06-20T16:00:00Z,19,90.566,863.634,0.8,0.4195
2021-06-20T17:00:00Z,19,91,863.786,0.9,0.6925
2021-06-20T18:00:00Z,19,92,863.681,1,0.8525
2021-06-20T19:00:00Z,19,92.7,863.318,1,0.7110000000000001
2021-06-20T20:00:00Z,19,93.166,863.014,1,0.688
2021-06-20T21:00:00Z,18.834,94,862.907,0.9,0.6375
2021-06-20T22:00:00Z,18,94,862.475,0.8,0.3775
2021-06-20T23:00:00Z,18,94,861.989,0.8,0.41100000000000003
2021-06-21T00:00:00Z,18,94,861.885,0.7,0.255
2021-06-21T01:00:00Z,18,92.367,862.1,2,2.4915
2021-06-21T02:00:00Z,18,87.833,862.231,3.1,4.4315
2021-06-21T03:00:00Z,18,86.067,862.532,2.4,3.2350000000000003
2021-06-21T04:00:00Z,18,87,863.303,1.8,2.2395
2021-06-21T05:00:00Z,18,86.534,864.012,1.9,2.27
2021-06-21T06:00:00Z,17.934,85.267,863.93,2.2,2.8695
2021-06-21T07:00:00Z,17.4,86.034,863.894,1.7,2.0545
2021-06-21T08:00:00Z,17.3,86.1,864.169,1.5,1.7185
2021-06-21T09:00:00Z,17.633,86.333,864.588,1.7,2.05
2021-06-21T10:00:00Z,17.966,85.9,864.811,1.6,1.875
2021-06-21T11:00:00Z,17.8,86.1,865.348,1.4,1.5915
2021-06-21T12:00:00Z,18,86.534,865.936,1,0.813
2021-06-21T13:00:00Z,18,87.166,866.399,0.8,0.4415
2021-06-21T14:00:00Z,18,87.834,866.583,1,0.8415
2021-06-21T15:00:00Z,18,86.667,866.517,1.9,2.4255
2021-06-21T20:00:00Z,21.4,81.367,864.798,157.9,283.706
2021-06-21T21:00:00Z,17.6,88.5,864.338,66.8,93.599
2021-10-07T15:00:00Z,41,58.75,903.643,6.3,11.64
2021-10-07T16:00:00Z,43.133,56.483,903.889,13.6,24.180500000000002
2021-10-07T17:00:00Z,42.608,57,904.029,4.6,7.943
2021-10-07T18:00:00Z,43.106,56.664,904.168,4.9,8.6015
2021-10-07T19:00:00Z,44.555,55.939,904.376,5,8.607
2021-10-07T20:00:00Z,45.733,55.533,904.336,4.9,8.395
2021-10-07T21:00:00Z,46.692,55.034,904.418,6.3,11.2285
2021-10-07T22:00:00Z,47.233,55.767,904.638,6.9,12.383
2021-10-07T23:00:00Z,49.133,54.8,904.731,9,17.3495
2021-10-08T00:00:00Z,50.433,54.767,904.738,8.8,17.052
2021-10-08T01:00:00Z,50,54.933,904.934,7.9,14.225999999999999
