time_stamp,humidity,temperature,pressure,pm2.5_alt,pm10.0_atm
2021-06-18T00:00:00Z,24.044,84.706,861.713,71.6,127.8655
2021-06-19T00:00:00Z,22.075,89.91,862.067,1.9,2.6959999999999997
2021-06-20T00:00:00Z,18.901,90.876,861.733,1.3,1.2635
2021-06-21T00:00:00Z,18.057,87.089,864.299,14,22.717
2021-10-07T00:00:00Z,44.799,56.219,904.248,6.8,12.2585
2021-10-08T00:00:00Z,43.929,59.036,904.322,16.1,30.0815
2021-10-09T00:00:00Z,45.607,58.95,904.926,23.3,41.935
2021-10-10T00:00:00Z,43.908,60.858,903.367,29.4,50.458
2021-10-11T00:00:00Z,41.035,62.5,901.135,24.5,44.542
2021-10-12T00:00:00Z,36.946,64.459,898.044,21.2,39.230500000000006
2021-10-13T00:00:00Z,36.646,66.418,897.883,25.7,46.471999999999994
2021-10-14T00:00:00Z,32.878,68.662,902.366,18.6,35.084
2021-10-15T00:00:00Z,40.742,66.598,902.152,23.3,41.783500000000004
2021-10-16T00:00:00Z,39.028,68.011,897.082,29.1,49.5435
2021-10-17T00:00:00Z,35.511,67.669,893.388,26.7,47.649
2021-10-18T00:00:00Z,43.9,59.133,893.721,18.3,35.953
2021-10-19T00:00:00Z,37.41,64.574,898.89,6.4,11.582
2021-10-20T00:00:00Z,35.428,59.238,902.526,8.7,16.8255
2021-10-21T00:00:00Z,38.244,55.376,906.995,16.5,32.292
2021-10-22T00:00:00Z,37.43,56.838,904.985,20.6,38.221500000000006
2021-10-23T00:00:00Z,34.222,58.658,901.038,26,45.4215
2021-10-24T00:00:00Z,31.708,58.638,898.833,26,45.685
2021-10-25T00:00:00Z,32.919,56.511,899.876,13,25.5955
2021-10-26T00:00:00Z,30.909,49.818,905.555,15.8,32.266
2021-10-27T00:00:00Z,31.855,48.751,906.323,27.3,52.5315
2021-10-28T00:00:00Z,29.967,51.264,903.323,34.3,62.423
2021-10-29T00:00:00Z,43.962,54.306,903.027,50.8,76.48
2021-10-30T00:00:00Z,58.86,56.589,908.032,71,96.044
2021-10-31T00:00:00Z,65.438,58.304,908.243,64.7,88.0505
2021-11-01T00:00:00Z,63.576,59.524,905.258,67.4,91.633
2021-11-02T00:00:00Z,61.694,62.341,900.873,66.8,89.2485
2021-11-03T00:00:00Z,61.704,63.111,900.837,52.5,74.3035
2021-11-04T00:00:00Z,49.451,62.107,905.198,20.4,36.812
2021-11-05T00:00:00Z,50.126,59.902,906.991,19.2,36.045500000000004
2021-11-06T00:00:00Z,50.145,56.812,904.89,31.3,52.84
2021-11-07T00:00:00Z,48.013,54.8,902.666,45.5,72.6785
2021-11-08T00:00:00Z,43.182,55.242,903.883,39.4,66.299
2021-11-09T00:00:00Z,42.896,54.881,903.633,49.3,79.315
2021-11-10T00:00:00Z,43.574,55.259,899.556,46.1,69.2235
2021-11-11T00:00:00Z,54.943,49.792,904.784,16.5,33.1455
2021-11-12T00:00:00Z,50.694,49.485,904.833,37.8,65.4105
2021-11-13T00:00:00Z,51.749,47.765,906.4,64.3,103.8805
2021-11-14T00:00:00Z,50.935,48.63,906.431,78.5,122.681
2021-11-15T00:00:00Z,51.529,49.207,900.326,94.8,146.064
2021-11-16T00:00:00Z,37.388,53.487,902.23,26.6,48.4865
2021-11-17T00:00:00Z,45.589,47.383,905.198,41,75.0205
2021-11-18T00:00:00Z,46.174,46.761,903.179,65.9,108.93
2021-11-19T00:00:00Z,47.603,47.05,898.078,87.5,139.95049999999998
2021-11-20T00:00:00Z,49.045,49.019,895.329,107.4,163.676
2021-11-21T00:00:00Z,49.099,49.845,898.866,76.5,119.52350000000001
2021-11-22T00:00:00Z,47.128,48.818,902.336,67.7,107.393
2021-11-23T00:00:00Z,47.309,48.968,901.465,67.9,107.0455
2021-11-24T00:00:00Z,46.949,52.146,898.335,48.2,77.2475
2021-11-25T00:00:00Z,58.374,51.061,901.697,24,44.562
2021-11-26T00:00:00Z,64.536,49.111,902.741,49.5,81.0515
2021-11-27T00:00:00Z,65.046,48.16,903.771,73,115.32499999999999
2021-11-28T00:00:00Z,65.619,49.113,901.724,65.9,110.1445
2021-11-29T00:00:00Z,65.1,49.825,903.477,86.7,143.1575
2021-11-30T00:00:00Z,66.967,48.183,897.493,73.5,127.13499999999999
2021-12-01T00:00:00Z,58.142,50.164,887.969,38.4,64.318
2021-12-02T00:00:00Z,47.622,44.153,898.067,20.6,45.1635
2021-12-03T00:00:00Z,45.409,40.788,904.62,37,70.6985
2021-12-04T00:00:00Z,48.654,39.775,903.105,65.3,116.298
2021-12-05T00:00:00Z,48.937,41.169,899.831,80.2,138.1185
2021-12-06T00:00:00Z,48.654,42.529,904.453,77.7,131.63400000000001
2021-12-07T00:00:00Z,47.997,44.176,905.274,85.7,141.597
2021-12-08T00:00:00Z,47.536,48.64,898.007,116.7,179.1775
2021-12-09T00:00:00Z,54.806,48.881,899.588,55.8,89.3225
2021-12-10T00:00:00Z,51.118,48.107,905.384,60,97.16550000000001
2021-12-11T00:00:00Z,49.914,44.209,907.38,60.7,103.01249999999999
2021-12-12T00:00:00Z,50.107,43.215,908.635,74.9,128.20850000000002
2021-12-13T00:00:00Z,50.475,42.008,907.153,83.8,144.825
2021-12-14T00:00:00Z,51.031,42.332,904.222,108.3,184.839
2021-12-15T00:00:00Z,52.557,42.419,902.758,126.5,218.495
2021-12-16T00:00:00Z,55.513,36.954,903.083,79.3,148.3975
2021-12-17T00:00:00Z,56.831,48.024,894.604,126.2,202.983
2021-12-18T00:00:00Z,61.938,47.845,893.752,91.9,148.3245
2021-12-19T00:00:00Z,51.81,49.619,894.81,48.8,80.54849999999999
2021-12-20T00:00:00Z,38.8,51.303,890.18,21,41.944500000000005
2021-12-21T00:00:00Z,54.844,46.389,889.392,16.2,33.1965
2021-12-22T00:00:00Z,36.908,36.87,896.989,13.6,34.179
2021-12-23T00:00:00Z,41.157,34.642,898.191,30.6,66.25
2021-12-24T00:00:00Z,40.816,30.548,898.884,30.7,76.2195
2021-12-25T00:00:00Z,43.347,31.79,903.745,46.4,99.504
2021-12-26T00:00:00Z,42.736,33.527,905.381,65.1,128.594
2021-12-27T00:00:00Z,44.239,33.617,905.276,75.9,146.99450000000002
2021-12-28T00:00:00Z,45.526,33.357,903.418,87.4,171.7615
2021-12-29T00:00:00Z,45.991,32.459,900.823,96.8,195.003
2021-12-30T00:00:00Z,46.667,32.166,901.166,111,225.725
2021-12-31T00:00:00Z,46.35,32.065,902.343,111.3,227.7015
2022-01-01T00:00:00Z,47.418,34.538,899.935,126.2,253.36649999999997
2022-01-02T00:00:00Z,56.979,35.849,894.154,144.8,290.779
2022-01-03T00:00:00Z,49.185,37.458,895.639,47.5,99.3365
2022-01-04T00:00:00Z,49.056,39.6,895.183,36.6,74.911
2022-01-05T00:00:00Z,51.412,39.832,900.827,47.5,88.27199999999999
2022-01-06T00:00:00Z,46.189,39.567,903.482,54.7,98.973
2022-01-07T00:00:00Z,47.171,38.936,902.113,71.9,129.36950000000002
2022-01-08T00:00:00Z,46.603,39.642,903.057,75.4,132.71699999999998
2022-01-09T00:00:00Z,47.329,39.387,901.66,72.8,130.766
2022-01-10T00:00:00Z,54.343,41.281,898.002,125.8,219.8345
2022-01-11T00:00:00Z,58.2,43.394,900.457,87.6,152.04899999999998
2022-01-12T00:00:00Z,58.666,43.603,900.317,79.1,139.34
2022-01-13T00:00:00Z,63.842,42.306,893.385,91.4,161.52800000000002
2022-01-14T00:00:00Z,45.551,34.196,892.468,13.4,36.497
2022-01-15T00:00:00Z,43.578,33.86,885.517,27.6,64.6305
2022-01-16T00:00:00Z,37.096,33.264,892.723,17.9,46.661
2022-01-17T00:00:00Z,35.61,28.077,898.306,20.3,56.568
2022-01-18T00:00:00Z,40.101,28.726,898.727,37,83.0925
2022-01-19T00:00:00Z,50.23,34.66,893.699,42.4,87.9705
2022-01-20T00:00:00Z,49.635,31.961,894.756,29.4,71
2022-01-21T00:00:00Z,41.91,28.298,903.391,23.7,61.545
2022-01-22T00:00:00Z,44.702,27.96,901.582,53.7,111.3475
2022-01-23T00:00:00Z,45.311,29.086,897.834,69.2,138.18200000000002
2022-01-24T00:00:00Z,41.854,36.619,898.62,95.3,173.10250000000002
2022-01-25T00:00:00Z,46.433,38.13,899.909,96.8,171.65449999999998
2022-01-26T00:00:00Z,47.519,38.761,896.845,63.4,114.5635
2022-01-27T00:00:00Z,50.29,41.104,892.51,30.5,59.692499999999995
2022-01-28T00:00:00Z,38.627,39.141,898.229,20.1,46.192
2022-01-29T00:00:00Z,44.281,36.667,900.449,34.3,73.85
2022-01-30T00:00:00Z,42.699,38.663,898.585,48.6,90.555
2022-01-31T00:00:00Z,41.598,43.241,895.957,39.1,75.1385
2022-02-01T00:00:00Z,41.811,42.995,898.586,38.8,74.87049999999999
2022-02-02T00:00:00Z,41.02,45.499,902.452,36.7,69.652
2022-02-03T00:00:00Z,42.251,45.111,897.843,44,78.3195
2022-02-04T00:00:00Z,61.41,44.738,889.732,60.4,99.70500000000001
2022-02-05T00:00:00Z,37.2,37.961,893.154,14,30.555
2022-02-06T00:00:00Z,34.567,38.118,898.833,14.8,35.156000000000006
2022-02-07T00:00:00Z,37.197,39.854,899.89,25,54.0635
2022-02-08T00:00:00Z,36.372,42.558,899.602,34.1,65.7765
2022-02-09T00:00:00Z,39.036,49.176,896.708,43,74.5065
2022-02-10T00:00:00Z,56.504,46.923,896.177,45.8,79.1455
2022-02-11T00:00:00Z,55.451,44.978,902.701,39.8,72.4495
2022-02-12T00:00:00Z,49.283,42.559,905.492,51.2,92.0225
